Var1,Var2,Freq,SurveyName,Country,StartYear
Married,Current User,0.218678907,AFIR70FL.DTA,Afghanistan,2015
MISSING,Current User,0.000140855,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Current User,0.000145603,AFIR70FL.DTA,Afghanistan,2015
UMSA,Current User,0,AFIR70FL.DTA,Afghanistan,2015
Married,Former User,0.115861482,AFIR70FL.DTA,Afghanistan,2015
MISSING,Former User,0.000150869,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Former User,0.003821718,AFIR70FL.DTA,Afghanistan,2015
UMSA,Former User,0.000103711,AFIR70FL.DTA,Afghanistan,2015
Married,Never Used,0.638641483,AFIR70FL.DTA,Afghanistan,2015
MISSING,Never Used,0.000271386,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Never Used,0.021326188,AFIR70FL.DTA,Afghanistan,2015
UMSA,Never Used,0.000857797,AFIR70FL.DTA,Afghanistan,2015
Married,Current User,0.075615081,AOIR71FL.DTA,Angola,2015
UMNSA,Current User,0.027880336,AOIR71FL.DTA,Angola,2015
UMSA,Current User,0.029599538,AOIR71FL.DTA,Angola,2015
Married,Former User,0.068676162,AOIR71FL.DTA,Angola,2015
UMNSA,Former User,0.029158798,AOIR71FL.DTA,Angola,2015
UMSA,Former User,0.012080156,AOIR71FL.DTA,Angola,2015
Married,Never Used,0.409057676,AOIR71FL.DTA,Angola,2015
UMNSA,Never Used,0.286808573,AOIR71FL.DTA,Angola,2015
UMSA,Never Used,0.06112368,AOIR71FL.DTA,Angola,2015
Married,Current User,0.363986172,AMIR71FL.DTA,Armenia,2015
MISSING,Current User,0,AMIR71FL.DTA,Armenia,2015
UMNSA,Current User,0.001567546,AMIR71FL.DTA,Armenia,2015
UMSA,Current User,0.001607236,AMIR71FL.DTA,Armenia,2015
Married,Former User,0.096897517,AMIR71FL.DTA,Armenia,2015
MISSING,Former User,0,AMIR71FL.DTA,Armenia,2015
UMNSA,Former User,0.024224286,AMIR71FL.DTA,Armenia,2015
UMSA,Former User,0.000118407,AMIR71FL.DTA,Armenia,2015
Married,Never Used,0.17602145,AMIR71FL.DTA,Armenia,2015
MISSING,Never Used,0.00051135,AMIR71FL.DTA,Armenia,2015
UMNSA,Never Used,0.335066035,AMIR71FL.DTA,Armenia,2015
UMSA,Never Used,0,AMIR71FL.DTA,Armenia,2015
Married,Current User,0.33603604,AMIR61FL.DTA,Armenia,2010
UMNSA,Current User,0.001152092,AMIR61FL.DTA,Armenia,2010
UMSA,Current User,0.001574732,AMIR61FL.DTA,Armenia,2010
Married,Former User,0.102667602,AMIR61FL.DTA,Armenia,2010
UMNSA,Former User,0.023000209,AMIR61FL.DTA,Armenia,2010
UMSA,Former User,0.000359932,AMIR61FL.DTA,Armenia,2010
Married,Never Used,0.173528305,AMIR61FL.DTA,Armenia,2010
UMNSA,Never Used,0.360237163,AMIR61FL.DTA,Armenia,2010
UMSA,Never Used,0.001443926,AMIR61FL.DTA,Armenia,2010
Married,Current User,0.583403745,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Current User,0,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Current User,0,BDIR7RFL.DTA,Bangladesh,2017
Married,Former User,0.265244023,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Former User,0.038329502,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Former User,0.000165777,BDIR7RFL.DTA,Bangladesh,2017
Married,Never Used,0.094584433,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Never Used,0.018272521,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Never Used,0,BDIR7RFL.DTA,Bangladesh,2017
Married,Current User,0.589326805,BDIR72FL.DTA,Bangladesh,2014
UMNSA,Current User,0,BDIR72FL.DTA,Bangladesh,2014
UMSA,Current User,0,BDIR72FL.DTA,Bangladesh,2014
Married,Former User,0.2045731,BDIR72FL.DTA,Bangladesh,2014
UMNSA,Former User,0.022039942,BDIR72FL.DTA,Bangladesh,2014
UMSA,Former User,4.09E-05,BDIR72FL.DTA,Bangladesh,2014
Married,Never Used,0.149818543,BDIR72FL.DTA,Bangladesh,2014
UMNSA,Never Used,0.034200674,BDIR72FL.DTA,Bangladesh,2014
UMSA,Never Used,0,BDIR72FL.DTA,Bangladesh,2014
Married,Current User,0.573717043,BDIR61FL.DTA,Bangladesh,2011
UMNSA,Current User,0,BDIR61FL.DTA,Bangladesh,2011
UMSA,Current User,0,BDIR61FL.DTA,Bangladesh,2011
Married,Former User,0.222450609,BDIR61FL.DTA,Bangladesh,2011
UMNSA,Former User,0.025696784,BDIR61FL.DTA,Bangladesh,2011
UMSA,Former User,0.000125832,BDIR61FL.DTA,Bangladesh,2011
Married,Never Used,0.14108439,BDIR61FL.DTA,Bangladesh,2011
UMNSA,Never Used,0.036875745,BDIR61FL.DTA,Bangladesh,2011
UMSA,Never Used,4.96E-05,BDIR61FL.DTA,Bangladesh,2011
Married,Current User,0.108747761,BJIR71FL.DTA,Benin,2017
UMNSA,Current User,0.019621273,BJIR71FL.DTA,Benin,2017
UMSA,Current User,0.015760119,BJIR71FL.DTA,Benin,2017
Married,Former User,0.142752657,BJIR71FL.DTA,Benin,2017
UMNSA,Former User,0.016946135,BJIR71FL.DTA,Benin,2017
UMSA,Former User,0.007220295,BJIR71FL.DTA,Benin,2017
Married,Never Used,0.449666741,BJIR71FL.DTA,Benin,2017
UMNSA,Never Used,0.207305009,BJIR71FL.DTA,Benin,2017
UMSA,Never Used,0.03198001,BJIR71FL.DTA,Benin,2017
Married,Current User,0.09101846,BJIR61FL.DTA,Benin,2011
UMNSA,Current User,0.02968632,BJIR61FL.DTA,Benin,2011
UMSA,Current User,0.019264311,BJIR61FL.DTA,Benin,2011
Married,Former User,0.097539783,BJIR61FL.DTA,Benin,2011
UMNSA,Former User,0.032569061,BJIR61FL.DTA,Benin,2011
UMSA,Former User,0.00800427,BJIR61FL.DTA,Benin,2011
Married,Never Used,0.515120453,BJIR61FL.DTA,Benin,2011
UMNSA,Never Used,0.180802751,BJIR61FL.DTA,Benin,2011
UMSA,Never Used,0.025994592,BJIR61FL.DTA,Benin,2011
Married,Current User,0.12840836,BFIR62FL.DTA,Burkina Faso,2010
UMNSA,Current User,0.012319692,BFIR62FL.DTA,Burkina Faso,2010
UMSA,Current User,0.012066352,BFIR62FL.DTA,Burkina Faso,2010
Married,Former User,0.075381965,BFIR62FL.DTA,Burkina Faso,2010
UMNSA,Former User,0.007111876,BFIR62FL.DTA,Burkina Faso,2010
UMSA,Former User,0.000715304,BFIR62FL.DTA,Burkina Faso,2010
Married,Never Used,0.589974527,BFIR62FL.DTA,Burkina Faso,2010
UMNSA,Never Used,0.166776268,BFIR62FL.DTA,Burkina Faso,2010
UMSA,Never Used,0.007245656,BFIR62FL.DTA,Burkina Faso,2010
Married,Current User,0.161683212,BUIR70FL.DTA,Burundi,2016
UMNSA,Current User,0.014219046,BUIR70FL.DTA,Burundi,2016
UMSA,Current User,0.002971329,BUIR70FL.DTA,Burundi,2016
Married,Former User,0.143671662,BUIR70FL.DTA,Burundi,2016
UMNSA,Former User,0.028198494,BUIR70FL.DTA,Burundi,2016
UMSA,Former User,0.001721424,BUIR70FL.DTA,Burundi,2016
Married,Never Used,0.261073439,BUIR70FL.DTA,Burundi,2016
UMNSA,Never Used,0.3831009,BUIR70FL.DTA,Burundi,2016
UMSA,Never Used,0.003360494,BUIR70FL.DTA,Burundi,2016
Married,Current User,0.126247654,BUIR61FL.DTA,Burundi,2010
UMNSA,Current User,0.005415547,BUIR61FL.DTA,Burundi,2010
UMSA,Current User,0.002386238,BUIR61FL.DTA,Burundi,2010
Married,Former User,0.059625524,BUIR61FL.DTA,Burundi,2010
UMNSA,Former User,0.006406368,BUIR61FL.DTA,Burundi,2010
UMSA,Former User,0.000901486,BUIR61FL.DTA,Burundi,2010
Married,Never Used,0.39150144,BUIR61FL.DTA,Burundi,2010
UMNSA,Never Used,0.401662186,BUIR61FL.DTA,Burundi,2010
UMSA,Never Used,0.005853557,BUIR61FL.DTA,Burundi,2010
Married,Current User,0.381202482,KHIR73FL.DTA,Cambodia,2014
MISSING,Current User,9.98E-06,KHIR73FL.DTA,Cambodia,2014
UMNSA,Current User,0.00272073,KHIR73FL.DTA,Cambodia,2014
UMSA,Current User,0.001389289,KHIR73FL.DTA,Cambodia,2014
Married,Former User,0.124099138,KHIR73FL.DTA,Cambodia,2014
MISSING,Former User,8.83E-05,KHIR73FL.DTA,Cambodia,2014
UMNSA,Former User,0.020939781,KHIR73FL.DTA,Cambodia,2014
UMSA,Former User,0.000592373,KHIR73FL.DTA,Cambodia,2014
Married,Never Used,0.171594611,KHIR73FL.DTA,Cambodia,2014
MISSING,Never Used,0.000350746,KHIR73FL.DTA,Cambodia,2014
UMNSA,Never Used,0.296603978,KHIR73FL.DTA,Cambodia,2014
UMSA,Never Used,0.000408572,KHIR73FL.DTA,Cambodia,2014
Married,Current User,0.148322026,CMIR61FL.DTA,Cameroon,2011
MISSING,Current User,4.64E-05,CMIR61FL.DTA,Cameroon,2011
UMNSA,Current User,0.046079624,CMIR61FL.DTA,Cameroon,2011
UMSA,Current User,0.042495227,CMIR61FL.DTA,Cameroon,2011
Married,Former User,0.137989556,CMIR61FL.DTA,Cameroon,2011
MISSING,Former User,0.000240077,CMIR61FL.DTA,Cameroon,2011
UMNSA,Former User,0.045663359,CMIR61FL.DTA,Cameroon,2011
UMSA,Former User,0.011321955,CMIR61FL.DTA,Cameroon,2011
Married,Never Used,0.348448089,CMIR61FL.DTA,Cameroon,2011
MISSING,Never Used,0.000446031,CMIR61FL.DTA,Cameroon,2011
UMNSA,Never Used,0.200278997,CMIR61FL.DTA,Cameroon,2011
UMSA,Never Used,0.018668661,CMIR61FL.DTA,Cameroon,2011
Married,Current User,0.042293558,TDIR71FL.DTA,Chad,2014
MISSING,Current User,8.91E-05,TDIR71FL.DTA,Chad,2014
UMNSA,Current User,0.006926074,TDIR71FL.DTA,Chad,2014
UMSA,Current User,0.004240967,TDIR71FL.DTA,Chad,2014
Married,Former User,0.024785334,TDIR71FL.DTA,Chad,2014
MISSING,Former User,2.07E-05,TDIR71FL.DTA,Chad,2014
UMNSA,Former User,0.006192696,TDIR71FL.DTA,Chad,2014
UMSA,Former User,0.000994862,TDIR71FL.DTA,Chad,2014
Married,Never Used,0.681414895,TDIR71FL.DTA,Chad,2014
MISSING,Never Used,0.000926584,TDIR71FL.DTA,Chad,2014
UMNSA,Never Used,0.217435671,TDIR71FL.DTA,Chad,2014
UMSA,Never Used,0.014679571,TDIR71FL.DTA,Chad,2014
Married,Current User,0.118495197,KMIR61FL.DTA,Comoros,2012
UMNSA,Current User,0.008186541,KMIR61FL.DTA,Comoros,2012
UMSA,Current User,0.009895379,KMIR61FL.DTA,Comoros,2012
Married,Former User,0.071626209,KMIR61FL.DTA,Comoros,2012
UMNSA,Former User,0.009044744,KMIR61FL.DTA,Comoros,2012
UMSA,Former User,0.001425133,KMIR61FL.DTA,Comoros,2012
Married,Never Used,0.421819553,KMIR61FL.DTA,Comoros,2012
UMNSA,Never Used,0.354526968,KMIR61FL.DTA,Comoros,2012
UMSA,Never Used,0.004980276,KMIR61FL.DTA,Comoros,2012
Married,Current User,0.260037369,CGIR60FL.DTA,Congo,2011
UMNSA,Current User,0.085667053,CGIR60FL.DTA,Congo,2011
UMSA,Current User,0.097718282,CGIR60FL.DTA,Congo,2011
Married,Former User,0.147990209,CGIR60FL.DTA,Congo,2011
UMNSA,Former User,0.052837187,CGIR60FL.DTA,Congo,2011
UMSA,Former User,0.013547648,CGIR60FL.DTA,Congo,2011
Married,Never Used,0.173279582,CGIR60FL.DTA,Congo,2011
UMNSA,Never Used,0.142550294,CGIR60FL.DTA,Congo,2011
UMSA,Never Used,0.026372376,CGIR60FL.DTA,Congo,2011
Married,Current User,0.388310433,DRIR61FL.DTA,Dominican Republic,2013
MISSING,Current User,0.000505502,DRIR61FL.DTA,Dominican Republic,2013
UMNSA,Current User,0.088809345,DRIR61FL.DTA,Dominican Republic,2013
UMSA,Current User,0.07316016,DRIR61FL.DTA,Dominican Republic,2013
Married,Former User,0.103191946,DRIR61FL.DTA,Dominican Republic,2013
MISSING,Former User,0.000273675,DRIR61FL.DTA,Dominican Republic,2013
UMNSA,Former User,0.081952181,DRIR61FL.DTA,Dominican Republic,2013
UMSA,Former User,0.024916501,DRIR61FL.DTA,Dominican Republic,2013
Married,Never Used,0.048928047,DRIR61FL.DTA,Dominican Republic,2013
MISSING,Never Used,0.000185218,DRIR61FL.DTA,Dominican Republic,2013
UMNSA,Never Used,0.180890331,DRIR61FL.DTA,Dominican Republic,2013
UMSA,Never Used,0.008876661,DRIR61FL.DTA,Dominican Republic,2013
Married,Current User,0.550216062,EGIR61FL.DTA,Egypt,2014
MISSING,Current User,0,EGIR61FL.DTA,Egypt,2014
Married,Former User,0.221572834,EGIR61FL.DTA,Egypt,2014
MISSING,Former User,0.033748056,EGIR61FL.DTA,Egypt,2014
Married,Never Used,0.168359728,EGIR61FL.DTA,Egypt,2014
MISSING,Never Used,0.02610332,EGIR61FL.DTA,Egypt,2014
Married,Current User,0.233918573,ETIR70FL.DTA,Ethiopia,2016
UMNSA,Current User,0.013436244,ETIR70FL.DTA,Ethiopia,2016
UMSA,Current User,0.006051477,ETIR70FL.DTA,Ethiopia,2016
Married,Former User,0.143877492,ETIR70FL.DTA,Ethiopia,2016
UMNSA,Former User,0.031146347,ETIR70FL.DTA,Ethiopia,2016
UMSA,Former User,0.00112187,ETIR70FL.DTA,Ethiopia,2016
Married,Never Used,0.27407248,ETIR70FL.DTA,Ethiopia,2016
UMNSA,Never Used,0.293189212,ETIR70FL.DTA,Ethiopia,2016
UMSA,Never Used,0.003186304,ETIR70FL.DTA,Ethiopia,2016
Married,Current User,0.178240748,ETIR61FL.DTA,Ethiopia,2011
UMNSA,Current User,0.01080631,ETIR61FL.DTA,Ethiopia,2011
UMSA,Current User,0.006750691,ETIR61FL.DTA,Ethiopia,2011
Married,Former User,0.10996681,ETIR61FL.DTA,Ethiopia,2011
UMNSA,Former User,0.028743632,ETIR61FL.DTA,Ethiopia,2011
UMSA,Former User,0.0016904,ETIR61FL.DTA,Ethiopia,2011
Married,Never Used,0.334705683,ETIR61FL.DTA,Ethiopia,2011
UMNSA,Never Used,0.325837361,ETIR61FL.DTA,Ethiopia,2011
UMSA,Never Used,0.003258365,ETIR61FL.DTA,Ethiopia,2011
Married,Current User,0.165481969,GAIR60FL.DTA,Gabon,2012
UMNSA,Current User,0.07233043,GAIR60FL.DTA,Gabon,2012
UMSA,Current User,0.098282035,GAIR60FL.DTA,Gabon,2012
Married,Former User,0.122431566,GAIR60FL.DTA,Gabon,2012
UMNSA,Former User,0.048278406,GAIR60FL.DTA,Gabon,2012
UMSA,Former User,0.022701293,GAIR60FL.DTA,Gabon,2012
Married,Never Used,0.243415977,GAIR60FL.DTA,Gabon,2012
UMNSA,Never Used,0.173703661,GAIR60FL.DTA,Gabon,2012
UMSA,Never Used,0.053374663,GAIR60FL.DTA,Gabon,2012
Married,Current User,0.119958838,GMIR81FL.DTA,Gambia,2019
UMNSA,Current User,0.010936265,GMIR81FL.DTA,Gambia,2019
UMSA,Current User,0.003297547,GMIR81FL.DTA,Gambia,2019
Married,Former User,0.157782661,GMIR81FL.DTA,Gambia,2019
UMNSA,Former User,0.02573393,GMIR81FL.DTA,Gambia,2019
UMSA,Former User,0.001995025,GMIR81FL.DTA,Gambia,2019
Married,Never Used,0.356553697,GMIR81FL.DTA,Gambia,2019
UMNSA,Never Used,0.321023515,GMIR81FL.DTA,Gambia,2019
UMSA,Never Used,0.002718522,GMIR81FL.DTA,Gambia,2019
Married,Current User,0.059502235,GMIR60FL.DTA,Gambia,2013
UMNSA,Current User,0.008614243,GMIR60FL.DTA,Gambia,2013
UMSA,Current User,0.003135118,GMIR60FL.DTA,Gambia,2013
Married,Former User,0.074439569,GMIR60FL.DTA,Gambia,2013
UMNSA,Former User,0.008286056,GMIR60FL.DTA,Gambia,2013
UMSA,Former User,0.000685801,GMIR60FL.DTA,Gambia,2013
Married,Never Used,0.52971339,GMIR60FL.DTA,Gambia,2013
UMNSA,Never Used,0.312284851,GMIR60FL.DTA,Gambia,2013
UMSA,Never Used,0.003338738,GMIR60FL.DTA,Gambia,2013
Married,Current User,0.151071134,GHIR72FL.DTA,Ghana,2014
MISSING,Current User,0,GHIR72FL.DTA,Ghana,2014
UMNSA,Current User,0.042767627,GHIR72FL.DTA,Ghana,2014
UMSA,Current User,0.034236937,GHIR72FL.DTA,Ghana,2014
Married,Former User,0.14389861,GHIR72FL.DTA,Ghana,2014
MISSING,Former User,0,GHIR72FL.DTA,Ghana,2014
UMNSA,Former User,0.053222787,GHIR72FL.DTA,Ghana,2014
UMSA,Former User,0.015190162,GHIR72FL.DTA,Ghana,2014
Married,Never Used,0.271386758,GHIR72FL.DTA,Ghana,2014
MISSING,Never Used,9.12E-05,GHIR72FL.DTA,Ghana,2014
UMNSA,Never Used,0.260769251,GHIR72FL.DTA,Ghana,2014
UMSA,Never Used,0.027365508,GHIR72FL.DTA,Ghana,2014
Married,Current User,0.351461194,GUIR71FL.DTA,Guatemala,2014
UMNSA,Current User,0.023499619,GUIR71FL.DTA,Guatemala,2014
UMSA,Current User,0.01909808,GUIR71FL.DTA,Guatemala,2014
Married,Former User,0.103551721,GUIR71FL.DTA,Guatemala,2014
UMNSA,Former User,0.049132988,GUIR71FL.DTA,Guatemala,2014
UMSA,Former User,0.00361641,GUIR71FL.DTA,Guatemala,2014
Married,Never Used,0.124757218,GUIR71FL.DTA,Guatemala,2014
UMNSA,Never Used,0.319429806,GUIR71FL.DTA,Guatemala,2014
UMSA,Never Used,0.005452966,GUIR71FL.DTA,Guatemala,2014
Married,Current User,0.077221338,GNIR71FL.DTA,Guinea,2018
UMNSA,Current User,0.017569553,GNIR71FL.DTA,Guinea,2018
UMSA,Current User,0.02284452,GNIR71FL.DTA,Guinea,2018
Married,Former User,0.075148898,GNIR71FL.DTA,Guinea,2018
UMNSA,Former User,0.011744069,GNIR71FL.DTA,Guinea,2018
UMSA,Former User,0.002632452,GNIR71FL.DTA,Guinea,2018
Married,Never Used,0.558242942,GNIR71FL.DTA,Guinea,2018
UMNSA,Never Used,0.218452615,GNIR71FL.DTA,Guinea,2018
UMSA,Never Used,0.016143612,GNIR71FL.DTA,Guinea,2018
Married,Current User,0.041084578,GNIR62FL.DTA,Guinea,2012
MISSING,Current User,0,GNIR62FL.DTA,Guinea,2012
UMNSA,Current User,0.023321492,GNIR62FL.DTA,Guinea,2012
UMSA,Current User,0.02061476,GNIR62FL.DTA,Guinea,2012
Married,Former User,0.05612275,GNIR62FL.DTA,Guinea,2012
MISSING,Former User,0,GNIR62FL.DTA,Guinea,2012
UMNSA,Former User,0.008861993,GNIR62FL.DTA,Guinea,2012
UMSA,Former User,0.003422575,GNIR62FL.DTA,Guinea,2012
Married,Never Used,0.63854505,GNIR62FL.DTA,Guinea,2012
MISSING,Never Used,0.000766239,GNIR62FL.DTA,Guinea,2012
UMNSA,Never Used,0.188967285,GNIR62FL.DTA,Guinea,2012
UMSA,Never Used,0.018293279,GNIR62FL.DTA,Guinea,2012
